"Job.ID","Location","Call.in.Time","Due.Time","Task.Duration","Call.back.Type"
"C111",220,2012-11-13 11:10:00,2012-11-13 17:00:00,20,"same-day"
"C72",24,2012-11-13 12:09:00,2012-11-13 17:00:00,93,"same-day"
"C73",131,2012-11-13 12:25:00,2012-11-13 17:00:00,45,"same-day"
"C27",83,2012-11-13 12:58:00,2012-11-13 17:00:00,45,"PIL"
"C75",128,2012-11-13 13:23:00,2012-11-13 17:00:00,4,"same-day"
"C60",28,2012-11-13 13:38:00,2012-11-13 17:00:00,37,"same-day"
"C77",177,2012-11-13 13:58:00,2012-11-13 17:00:00,5,"same-day"
"C78",162,2012-11-14 08:35:00,2012-11-14 17:00:00,21,"same-day"
"C79",225,2012-11-14 08:43:00,2012-11-14 17:00:00,10,"same-day"
"C80",94,2012-11-14 10:01:00,2012-11-14 17:00:00,15,"same-day"
"C81",84,2012-11-14 10:22:00,2012-11-14 17:00:00,11,"same-day"
"C112",93,2012-11-14 11:24:00,2012-11-14 17:00:00,58,"same-day"
"C82",84,2012-11-14 14:05:00,2012-11-14 17:00:00,12,"same-day"
"C83",107,2012-11-14 15:42:00,2012-11-14 17:00:00,4,"same-day"
"C61",24,2012-11-14 16:16:00,2012-11-14 17:00:00,1,"same-day"
"C84",172,2012-11-15 08:42:00,2012-11-15 17:00:00,89,"same-day"
"C85",84,2012-11-15 08:43:00,2012-11-15 17:00:00,46,"same-day"
"C86",37,2012-11-15 09:16:00,2012-11-15 17:00:00,68,"same-day"
"C87",239,2012-11-15 09:25:00,2012-11-15 17:00:00,34,"same-day"
"C88",17,2012-11-15 10:39:00,2012-11-15 17:00:00,124,"same-day"
"C113",84,2012-11-15 11:30:00,2012-11-15 17:00:00,115,"same-day"
"C89",239,2012-11-15 12:15:00,2012-11-15 17:00:00,55,"same-day"
"C91",84,2012-11-15 13:00:00,2012-11-15 17:00:00,36,"same-day"
"C92",84,2012-11-15 14:04:00,2012-11-15 17:00:00,3,"same-day"
"C94",249,2012-11-15 15:43:00,2012-11-15 17:00:00,13,"same-day"
"C167",137,2012-11-15 15:43:00,2012-11-15 17:00:00,12,"same-day"
"C24",45,2012-11-15 16:25:00,2012-11-15 17:00:00,4,"PIL"
"C62",153,2012-11-16 08:00:00,2012-11-16 17:00:00,6,"same-day"
"C95",155,2012-11-16 08:51:00,2012-11-16 17:00:00,33,"same-day"
"C96",29,2012-11-16 10:14:00,2012-11-16 17:00:00,32,"same-day"
"C97",242,2012-11-16 11:57:00,2012-11-16 17:00:00,28,"same-day"
"C114",99,2012-11-16 12:06:00,2012-11-16 17:00:00,43,"same-day"
"C39",90,2012-11-16 12:07:00,2012-11-16 17:00:00,75,"PIL"
"C98",84,2012-11-16 12:30:00,2012-11-16 17:00:00,26,"same-day"
"C52",155,2012-11-16 14:37:00,2012-11-16 17:00:00,1,"PIL"
"C99",80,2012-11-16 14:57:00,2012-11-16 17:00:00,1,"same-day"
"C168",84,2012-11-19 08:10:00,2012-11-19 17:00:00,63,"same-day"
"C63",239,2012-11-19 09:41:00,2012-11-19 17:00:00,4,"same-day"
"C115",58,2012-11-19 10:46:00,2012-11-19 17:00:00,45,"same-day"
"C116",78,2012-11-19 11:11:00,2012-11-19 17:00:00,56,"same-day"
"C117",161,2012-11-19 12:10:00,2012-11-19 17:00:00,43,"same-day"
"C118",45,2012-11-19 13:10:00,2012-11-19 17:00:00,37,"same-day"
"C119",45,2012-11-19 13:39:00,2012-11-19 17:00:00,81,"same-day"
"C120",239,2012-11-19 13:44:00,2012-11-19 17:00:00,23,"same-day"
"C93",173,2012-11-19 13:46:00,2012-11-19 17:00:00,40,"PIL"
"C121",116,2012-11-19 13:47:00,2012-11-19 17:00:00,35,"same-day"
"C105",229,2012-11-19 14:17:00,2012-11-19 17:00:00,56,"PIL"
"C122",127,2012-11-19 14:27:00,2012-11-19 17:00:00,26,"same-day"
"C90",84,2012-11-19 14:30:00,2012-11-19 17:00:00,59,"PIL"
"C123",143,2012-11-20 09:21:00,2012-11-20 17:00:00,5,"same-day"
"C124",128,2012-11-20 10:08:00,2012-11-20 17:00:00,19,"same-day"
"C125",192,2012-11-20 10:18:00,2012-11-20 17:00:00,70,"same-day"
"C126",27,2012-11-20 10:36:00,2012-11-20 17:00:00,42,"same-day"
"C127",128,2012-11-20 12:20:00,2012-11-20 17:00:00,76,"same-day"
"C64",1,2012-11-20 12:21:00,2012-11-20 17:00:00,32,"same-day"
"C128",175,2012-11-20 14:54:00,2012-11-20 17:00:00,65,"same-day"
"C74",84,2012-11-20 14:58:00,2012-11-20 17:00:00,63,"PIL"
"C129",196,2012-11-20 15:06:00,2012-11-20 17:00:00,20,"same-day"
"C130",2,2012-11-20 15:11:00,2012-11-20 17:00:00,66,"same-day"
"C131",35,2012-11-20 16:05:00,2012-11-20 17:00:00,40,"same-day"
"C132",67,2012-11-21 07:18:00,2012-11-21 17:00:00,1,"same-day"
"C133",38,2012-11-21 07:43:00,2012-11-21 17:00:00,34,"same-day"
"C159",84,2012-11-21 09:11:00,2012-11-21 17:00:00,4,"same-day"
"C134",118,2012-11-21 09:29:00,2012-11-21 17:00:00,1,"same-day"
"C107",83,2012-11-21 11:26:00,2012-11-21 17:00:00,94,"PIL"
"C135",230,2012-11-21 12:25:00,2012-11-21 17:00:00,35,"same-day"
"C65",127,2012-11-21 13:14:00,2012-11-21 17:00:00,2,"same-day"
"C136",146,2012-11-21 13:19:00,2012-11-21 17:00:00,31,"same-day"
"C137",197,2012-11-21 14:12:00,2012-11-21 17:00:00,3,"same-day"
"C138",45,2012-11-21 14:40:00,2012-11-21 17:00:00,4,"same-day"
"C141",45,2012-11-21 15:56:00,2012-11-21 17:00:00,14,"same-day"
"C142",71,2012-11-21 16:10:00,2012-11-21 17:00:00,32,"same-day"
"C143",239,2012-11-22 07:55:00,2012-11-22 17:00:00,43,"same-day"
"C144",213,2012-11-22 08:41:00,2012-11-22 17:00:00,88,"same-day"
"C160",101,2012-11-22 10:24:00,2012-11-22 17:00:00,23,"same-day"
"C145",71,2012-11-22 11:05:00,2012-11-22 17:00:00,95,"same-day"
"C66",45,2012-11-22 13:26:00,2012-11-22 17:00:00,90,"same-day"
"C146",27,2012-11-22 14:33:00,2012-11-22 17:00:00,95,"same-day"
"C147",7,2012-11-22 15:35:00,2012-11-22 17:00:00,1,"same-day"
"C148",239,2012-11-22 15:35:00,2012-11-22 17:00:00,65,"same-day"
"C149",170,2012-11-22 15:55:00,2012-11-22 17:00:00,22,"same-day"
"C150",29,2012-11-22 15:58:00,2012-11-22 17:00:00,9,"same-day"
"C151",101,2012-11-23 07:30:00,2012-11-23 17:00:00,4,"same-day"
"C153",220,2012-11-23 09:00:00,2012-11-23 17:00:00,38,"same-day"
"C155",223,2012-11-23 09:42:00,2012-11-23 17:00:00,28,"same-day"
"C156",104,2012-11-23 10:27:00,2012-11-23 17:00:00,28,"same-day"
"C157",38,2012-11-23 10:30:00,2012-11-23 17:00:00,12,"same-day"
"C161",101,2012-11-23 10:40:00,2012-11-23 17:00:00,15,"same-day"
"C139",84,2012-11-23 12:25:00,2012-11-23 17:00:00,67,"PIL"
"C140",173,2012-11-23 12:29:00,2012-11-23 17:00:00,25,"PIL"
"C158",67,2012-11-23 12:31:00,2012-11-23 17:00:00,20,"same-day"
"C67",61,2012-11-23 14:07:00,2012-11-23 17:00:00,12,"same-day"
"C170",162,2012-11-23 15:43:00,2012-11-23 17:00:00,6,"same-day"
"C171",239,2012-11-26 10:51:00,2012-11-26 17:00:00,72,"same-day"
"C162",223,2012-11-26 11:20:00,2012-11-26 17:00:00,73,"same-day"
"C172",239,2012-11-26 12:53:00,2012-11-26 17:00:00,11,"same-day"
"C173",83,2012-11-26 13:27:00,2012-11-26 17:00:00,51,"same-day"
"C68",220,2012-11-26 14:21:00,2012-11-26 17:00:00,19,"same-day"
"C174",128,2012-11-26 14:38:00,2012-11-26 17:00:00,93,"same-day"
"C175",118,2012-11-27 09:07:00,2012-11-27 17:00:00,34,"same-day"
"C176",161,2012-11-27 09:29:00,2012-11-27 17:00:00,16,"same-day"
"C100",162,2012-11-27 11:25:00,2012-11-27 17:00:00,25,"same-day"
"C163",20,2012-11-27 11:34:00,2012-11-27 17:00:00,9,"same-day"
"C177",67,2012-11-27 12:04:00,2012-11-27 17:00:00,52,"same-day"
"C179",162,2012-11-27 12:12:00,2012-11-27 17:00:00,54,"same-day"
"C169",94,2012-11-27 12:40:00,2012-11-27 17:00:00,51,"same-day"
"C180",120,2012-11-27 13:28:00,2012-11-27 17:00:00,97,"same-day"
"C181",84,2012-11-27 13:55:00,2012-11-27 17:00:00,103,"same-day"
"C182",118,2012-11-27 14:38:00,2012-11-27 17:00:00,28,"same-day"
"C183",86,2012-11-28 07:24:00,2012-11-28 17:00:00,1,"same-day"
"C184",77,2012-11-28 08:15:00,2012-11-28 17:00:00,1,"same-day"
"C185",239,2012-11-28 08:22:00,2012-11-28 17:00:00,60,"same-day"
"C186",84,2012-11-28 09:56:00,2012-11-28 17:00:00,82,"same-day"
"C101",8,2012-11-28 11:37:00,2012-11-28 17:00:00,82,"same-day"
"C187",94,2012-11-28 12:28:00,2012-11-28 17:00:00,59,"same-day"
"C164",43,2012-11-28 13:15:00,2012-11-28 17:00:00,111,"same-day"
"C188",161,2012-11-28 14:05:00,2012-11-28 17:00:00,25,"same-day"
"C189",103,2012-11-29 07:46:00,2012-11-29 17:00:00,3,"same-day"
"C190",229,2012-11-29 08:57:00,2012-11-29 17:00:00,77,"same-day"
"C191",218,2012-11-29 09:12:00,2012-11-29 17:00:00,17,"same-day"
"C192",163,2012-11-29 10:38:00,2012-11-29 17:00:00,100,"same-day"
"C193",23,2012-11-29 11:17:00,2012-11-29 17:00:00,16,"same-day"
"C194",38,2012-11-29 11:23:00,2012-11-29 17:00:00,34,"same-day"
"C102",173,2012-11-29 11:37:00,2012-11-29 17:00:00,54,"same-day"
"C152",2,2012-11-29 13:45:00,2012-11-29 17:00:00,8,"PIL"
"C178",75,2012-11-29 13:48:00,2012-11-29 17:00:00,77,"PIL"
"C154",223,2012-11-29 14:06:00,2012-11-29 17:00:00,72,"PIL"
"C195",71,2012-11-29 15:03:00,2012-11-29 17:00:00,51,"same-day"
"C196",31,2012-11-30 08:17:00,2012-11-30 17:00:00,30,"same-day"
"C197",155,2012-11-30 08:26:00,2012-11-30 17:00:00,76,"same-day"
"C198",43,2012-11-30 09:49:00,2012-11-30 17:00:00,20,"same-day"
"C199",249,2012-11-30 11:31:00,2012-11-30 17:00:00,6,"same-day"
"C200",37,2012-11-30 12:18:00,2012-11-30 17:00:00,50,"same-day"
"C103",157,2012-11-30 13:20:00,2012-11-30 17:00:00,23,"same-day"
"C165",6,2012-11-30 14:25:00,2012-11-30 17:00:00,15,"same-day"
"C165",6,2012-11-30 14:25:00,2012-11-30 17:00:00,15,"same-day"
